;Date;Week_day;Open;Close;Change
192;12/07/22;Tuesday; 19,790.38 ; 19,461.99 ;-1.66%
193;13/07/22;Wednesday; 19,250.75 ; 19,670.02 ;2.18%
194;14/07/22;Thursday; 19,746.57 ; 20,682.33 ;4.74%
195;15/07/22;Friday; 20,980.01 ; 20,933.89 ;-0.22%
196;16/07/22;Saturday; 20,798.25 ; 21,211.36 ;1.99%
197;17/07/22;Sunday; 21,182.08 ; 20,935.47 ;-1.16%
198;18/07/22;Monday; 22,043.12 ; 21,493.18 ;-2.49%
199;19/07/22;Tuesday; 22,284.15 ; 23,300.14 ;4.56%
200;20/07/22;Wednesday; 23,995.84 ; 23,259.70 ;-3.07%
201;21/07/22;Thursday; 22,456.40 ; 23,120.65 ;2.96%
202;22/07/22;Friday; 23,488.00 ; 22,604.97 ;-3.76%
203;23/07/22;Saturday; 22,239.73 ; 22,325.82 ;0.39%
204;24/07/22;Sunday; 22,758.22 ; 22,718.33 ;-0.18%
205;25/07/22;Monday; 21,771.24 ; 22,167.91 ;1.82%
206;26/07/22;Tuesday; 20,884.62 ; 20,983.99 ;0.48%
207;27/07/22;Wednesday; 21,453.66 ; 22,776.58 ;6.17%
208;28/07/22;Thursday; 22,898.12 ; 24,025.88 ;4.93%
209;29/07/22;Friday; 24,127.91 ; 23,941.24 ;-0.77%
210;30/07/22;Saturday; 24,551.13 ; 23,963.03 ;-2.40%
211;31/07/22;Sunday; 23,786.08 ; 23,797.15 ;0.05%
212;1/08/22;Monday; 23,325.10 ; 23,118.88 ;-0.88%
213;2/08/22;Tuesday; 23,079.75 ; 23,030.58 ;-0.21%
214;3/08/22;Wednesday; 23,356.17 ; 23,322.38 ;-0.14%
215;4/08/22;Thursday; 22,877.73 ; 22,511.22 ;-1.60%
216;5/08/22;Friday; 23,238.43 ; 22,983.39 ;-1.10%
217;6/08/22;Saturday; 23,197.49 ; 23,172.41 ;-0.11%
218;7/08/22;Sunday; 23,099.69 ; 23,264.01 ;0.71%
219;8/08/22;Monday; 24,145.50 ; 24,066.49 ;-0.33%
220;9/08/22;Tuesday; 23,042.52 ; 23,137.35 ;0.41%
221;10/08/22;Wednesday; 23,918.31 ; 23,893.94 ;-0.10%
222;11/08/22;Thursday; 24,639.28 ; 24,203.27 ;-1.77%
223;12/08/22;Friday; 23,832.83 ; 24,225.20 ;1.65%
224;13/08/22;Saturday; 24,478.84 ; 24,486.13 ;0.03%
225;14/08/22;Sunday; 24,495.92 ; 24,312.41 ;-0.75%
226;15/08/22;Monday; 24,117.60 ; 24,066.82 ;-0.21%
227;16/08/22;Tuesday; 23,837.53 ; 23,979.93 ;0.60%
228;17/08/22;Wednesday; 23,412.38 ; 23,402.39 ;-0.04%
229;18/08/22;Thursday; 23,394.86 ; 23,414.84 ;0.09%
230;19/08/22;Friday; 21,439.17 ; 21,273.76 ;-0.77%
231;20/08/22;Saturday; 21,294.13 ; 20,819.72 ;-2.23%
232;21/08/22;Sunday; 21,390.21 ; 21,468.43 ;0.37%
233;22/08/22;Monday; 21,215.12 ; 21,130.11 ;-0.40%
234;23/08/22;Tuesday; 21,570.83 ; 21,478.35 ;-0.43%
235;24/08/22;Wednesday; 21,527.60 ; 21,691.93 ;0.76%
236;25/08/22;Thursday; 21,691.48 ; 21,646.11 ;-0.21%
237;26/08/22;Friday; 21,449.71 ;;
